開始,終了,タイプ,放送局,配信サイト,時間,NHK
2012-06-04,,放送,NHK BSプレミアム,,月曜 19:00 - 19:25月曜 18:30 - 18:55,
2013-03-04,,放送,NHK BSプレミアム,,月曜 18:30 - 18:55土曜 23:45 - 日曜 0:10,
2013-06-08,,放送,NHK BSプレミアム,,土曜 23:45 - 日曜 0:10日曜 0:00 - 0:25（土曜深夜）,
2020-04-06,,放送,NHK総合,,月曜 0:15 - 0:40（日曜深夜）月曜 0:10 - 0:35（日曜深夜）月曜 0:05 - 0:30（日曜深夜）,
2022-04-10,2022-10-02,放送,NHK総合,,日曜 0:00 - 0:25（土曜深夜）,
2020-04-06,,配信,,dTV,月曜 12:00 更新,
2020-04-06,,配信,,GYAO!ストア,月曜 12:00 更新,
2020-04-06,,配信,,Rakuten TV,月曜 12:00 更新,
2020-04-06,,配信,,ビデオマーケット,月曜 12:00 更新,
2020-04-06,,配信,,DMM.com,月曜 12:00 更新,
2020-04-06,,配信,,music.jp,月曜 12:00 更新,
2020-04-11,,配信,,Amazon Prime Video,土曜 0:00 更新,
2020-04-11,,配信,,Netflix,土曜 0:00 更新,
2020-04-11,,配信,,Hulu,土曜 0:00 更新,
2020-04-11,,配信,,バンダイチャンネル,土曜 0:00 更新,
2020-04-11,,配信,,U-NEXT,土曜 0:00 更新,
2020-04-11,,配信,,アニメ放題,土曜 0:00 更新,
2020-04-11,,配信,,TELASA,土曜 0:00 更新,
2020-04-11,,配信,,auスマートパスプレミアム,土曜 0:00 更新,
2020-04-11,,配信,,J:COMオンデマンド,土曜 0:00 更新,
2020-04-11,,配信,,milplus,土曜 0:00 更新,
2020-04-11,,配信,,ひかりTV,土曜 0:00 更新,
2020-04-11,,配信,,アクトビラ,土曜 0:00 更新,
2020-04-11,,配信,,PlayStation Video,土曜 0:00 更新,
2020-04-11,,配信,,GYAO!,土曜 0:00 更新,
2020-04-11,,配信,,ABEMA,土曜 1:35 - 2:05（金曜深夜）,
2020-04-11,,配信,,ABEMAビデオ,土曜 2:05（金曜深夜） 更新,
2020-04-12,,配信,,TSUTAYA TV,日曜 19:00 更新,
