開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2018-01-01,,放送,TOKYO MX,,月曜 20:00 - 21:00,2018年1月1日,東京都,
2018-01-03,,放送,BS11,,水曜 0:00 - 1:00（火曜深夜）,2018年1月3日,日本全域,BS放送 / 『ANIME+』枠
2018-01-04,,放送,KBS京都,,木曜 22:30 - 23:30,2018年1月4日,京都府,
2018-01-04,,放送,サンテレビ,,木曜 1:30 - 2:30（水曜深夜）,2018年1月4日,兵庫県,
2018-01-05,,放送,テレビ愛知,,金曜 2:05 - 3:05（木曜深夜）,2018年1月5日,愛知県,
2018-01-05,,放送,テレビ北海道,,金曜 1:35 - 2:35（木曜深夜）,2018年1月5日,北海道,
2018-01-05,,放送,TVQ九州放送,,金曜 2:00 - 3:00（木曜深夜）,2018年1月5日,福岡県,
2018-01-07,2018-04-01,放送,TOKYO MX,,日曜 22:30 - 23:00,2018年1月7日 - 4月1日,東京都,
2018-01-07,2018-04-01,放送,KBS京都,,日曜 23:00 - 23:30,2018年1月7日 - 4月1日,京都府,
2018-01-08,2018-04-02,放送,サンテレビ,,月曜 0:30 - 1:00（日曜深夜）,2018年1月8日 - 4月2日,兵庫県,
2018-01-08,2018-04-02,放送,テレビ愛知,,月曜 2:05 - 2:35（日曜深夜）,2018年1月8日 - 4月2日,愛知県,
2018-01-10,2018-04-04,放送,BS11,,水曜 0:00 - 0:30（火曜深夜）,2018年1月10日 - 4月4日,日本全域,BS放送 / 『ANIME+』枠
2018-01-10,2018-04-04,放送,テレビ北海道,,水曜 2:05 - 2:35（火曜深夜）,2018年1月10日 - 4月4日,北海道,
2018-01-10,2018-04-04,放送,TVQ九州放送,,水曜 2:35 - 3:05（火曜深夜）,2018年1月10日 - 4月4日,福岡県,
2018-05-19,,放送,TOKYO MX,,土曜 19:30 - 20:30,2018年5月19日,東京都,
2018-05-20,,放送,テレビ北海道,,日曜 2:50 - 3:50（土曜深夜）,2018年5月20日,北海道,
2018-05-21,,放送,テレビ愛知,,月曜 2:05 - 3:05（日曜深夜）,2018年5月21日,愛知県,
2018-05-21,,放送,TVQ九州放送,,月曜 3:35 - 4:35（日曜深夜）,2018年5月21日,福岡県,
2018-05-22,,放送,KBS京都,,火曜 23:00 - 水曜 0:00,2018年5月22日,京都府,
2018-05-23,,放送,サンテレビ,,水曜 1:30 - 2:30（火曜深夜）,2018年5月23日,兵庫県,
2018-05-25,,放送,BS11,,金曜 1:30 - 2:30（木曜深夜）,2018年5月25日,日本全域,BS放送 / 『ANIME+』枠
2020-04-05,,放送,TOKYO MX,,日曜 22:30 - 23:30,2020年4月5日,東京都,
2020-04-05,,放送,KBS京都,,日曜 22:30 - 23:30,2020年4月5日,京都府,
2020-04-06,,放送,サンテレビ,,月曜 1:30 - 2:30（日曜深夜）,2020年4月6日,兵庫県,
2020-04-08,,放送,BS11,,水曜 0:00 - 1:00（火曜深夜）,2020年4月8日,日本全域,BS放送 / 『ANIME+』枠
2020-04-08,,放送,テレビ愛知,,水曜 2:35 - 3:35（火曜深夜）,2020年4月8日,愛知県,
2020-04-08,,放送,テレビ北海道,,水曜 2:35 - 3:35（火曜深夜）,2020年4月8日,北海道,
2020-04-09,,放送,TVQ九州放送,,木曜 2:35 - 3:35（水曜深夜）,2020年4月9日,福岡県,
2020-04-12,,放送,TOKYO MX,,日曜 22:30 - 23:00（第3・4話）日曜 23:00 - 23:30（第5話以降）,2020年4月12日 - 4月19日2020年10月18日 - 12月27日,東京都,
2020-04-12,,放送,KBS京都,,日曜 23:00 - 23:30,2020年4月12日 - 4月19日2020年10月18日 - 12月27日,京都府,
2020-04-13,,放送,サンテレビ,,月曜 0:30 - 1:00（日曜深夜）,2020年4月13日 - 4月20日2020年10月19日 - 12月28日,兵庫県,
2020-04-15,,放送,BS11,,水曜 0:00 - 0:30（火曜深夜、第3・4話）水曜 0:30 - 1:00（火曜深夜、第5話以降）,2020年4月15日 - 4月22日2020年10月21日 - 12月30日,日本全域,BS放送 / 『ANIME+』枠
2020-04-15,,放送,テレビ愛知,,水曜 2:35 - 3:05（火曜深夜）,2020年4月15日 - 4月22日2020年10月21日 - 12月30日,愛知県,
2020-04-15,,放送,テレビ北海道,,水曜 2:35 - 3:05（火曜深夜）,2020年4月15日 - 4月22日2020年10月21日 - 12月30日,北海道,
2020-04-16,,放送,TVQ九州放送,,木曜 2:35 - 3:05（水曜深夜）,2020年4月16日 - 4月23日2020年10月22日 - 12月31日,福岡県,
2020-01-07,,配信,,YouTube,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,dアニメストア,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,バンダイチャンネル,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,ひかりTV,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,FOD,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,Amazonビデオ,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,GYAO!ストア,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,Playストア,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,TSUTAYA TV,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,DMM.com,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,ニコニコチャンネル,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,HAPPY!動画,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,ビデオマーケット,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,music.jp,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,ムービーフル,火曜 12:00 更新,2020年1月7日,,
2020-01-07,,配信,,Rakuten TV,火曜 12:00 更新,2020年1月7日,,
2020-01-08,,配信,,ニコニコ生放送,水曜 0:00 - 0:30（火曜深夜）,2020年1月8日,,
2020-01-20,,配信,,J:COMオンデマンド,月曜 12:00 更新,2020年1月20日,,
2020-01-20,,配信,,ビデオパス,月曜 12:00 更新,2020年1月20日,,
2020-01-20,,配信,,みるプラス,月曜 12:00 更新,2020年1月20日,,
2020-02-27,,配信,,hulu,木曜 12:00 更新,2020年2月27日,,
2020-04-05,,配信,,ABEMA,日曜 22:30 - 23:00,2020年4月5日,,
2020-04-05,,配信,,ニコニコ生放送,日曜 22:30 - 23:00,2020年4月5日,,
2020-04-07,,配信,,dアニメストア,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,Amazonビデオ,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,GYAO!ストア,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,Playストア,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,TSUTAYA TV,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,DMM.com,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,ニコニコチャンネル,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,HAPPY!動画,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,バンダイチャンネル,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,ビデオマーケット,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,music.jp,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,ムービーフル,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,Rakuten TV,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,J:COMオンデマンド,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,TELASA,火曜 22:30 更新,2020年4月7日,,
2020-04-07,,配信,,みるプラス,火曜 22:30 更新,2020年4月7日,,
2020-04-13,,配信,,アニメ放題,月曜 12:00 更新,2020年4月13日,,
2020-04-13,,配信,,FOD,月曜 12:00 更新,2020年4月13日,,
2020-04-13,,配信,,hulu,月曜 12:00 更新,2020年4月13日,,
2020-04-13,,配信,,U-NEXT,月曜 12:00 更新,2020年4月13日,,
2021-07-04,2021-09-26,放送,TOKYO MX,,日曜 22:30 - 23:00,2021年7月4日 - 9月26日,東京都,
2021-07-04,2021-09-26,放送,KBS京都,,日曜 23:30 - 月曜 0:00,2021年7月4日 - 9月26日,京都府,
2021-07-04,2021-09-26,放送,サンテレビ,,日曜 23:30 - 月曜 0:00,2021年7月4日 - 9月26日,兵庫県,
2021-07-07,2021-09-29,放送,BS11,,水曜 0:00 - 0:30（火曜深夜）,2021年7月7日 - 9月29日,日本全域,BS放送 / 『ANIME+』枠
2021-07-07,2021-09-29,放送,テレビ北海道,,水曜 2:35 - 3:05（火曜深夜）,2021年7月7日 - 9月29日,北海道,
2021-07-07,2021-09-29,放送,テレビ愛知,,水曜 2:35 - 3:05（火曜深夜）,2021年7月7日 - 9月29日,愛知県,
2021-07-08,2021-09-30,放送,TVQ九州放送,,木曜 2:15 - 2:45（水曜深夜）,2021年7月8日 - 9月30日,福岡県,
2021-09-25,,放送,TBSチャンネル2,,土曜 20:00 - 日曜 1:00,2021年9月25日 -,日本全域,CS放送 / 一挙放送
2021-07-04,,配信,,ABEMA,日曜 22:30 - 23:00,2021年7月4日,,
2021-07-04,,配信,,Amazonプライム・ビデオ,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,GYAO!ストア,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,TSUTAYA TV,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,DMM.com,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,ニコニコチャンネル,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,HAPPY!動画,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,バンダイチャンネル,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,ひかりTV,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,ビデオマーケット,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,music.jp,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,ムービーフル,日曜 23:00 更新,2021年7月4日,,
2021-07-04,,配信,,Rakuten TV,日曜 23:00 更新,2021年7月4日,,
2021-07-07,,配信,,アニメ放題,水曜 12:00 更新,2021年7月7日,,
2021-07-07,,配信,,dアニメストア,水曜 12:00 更新,2021年7月7日,,
2021-07-07,,配信,,hulu,水曜 12:00 更新,2021年7月7日,,
2021-07-07,,配信,,U-NEXT,水曜 12:00 更新,2021年7月7日,,
2021-07-07,,配信,,ニコニコ生放送,水曜 23:30 - 木曜 0:00,2021年7月7日,,
2022-10-02,2022-12-25,放送,TOKYO MX,,日曜 22:30 - 23:00,2022年10月2日 - 12月25日,東京都,
2022-10-02,2022-12-25,放送,KBS京都,,日曜 23:30 - 月曜 0:00,2022年10月2日 - 12月25日,京都府,
2022-10-02,2022-12-25,放送,サンテレビ,,日曜 23:30 - 月曜 0:00,2022年10月2日 - 12月25日,兵庫県,
2022-10-03,2022-12-26,放送,BS11,,水曜 0:00 - 0:30（月曜深夜）,2022年10月3日 - 12月26日,日本全域,BS放送 / 『ANIME+』枠
2022-10-04,2022-12-27,放送,テレビ北海道,,水曜 2:35 - 3:05（火曜深夜）,2022年10月4日 - 12月27日,北海道,
2022-10-04,2022-12-27,放送,テレビ愛知,,水曜 2:35 - 3:05（火曜深夜）,2022年10月4日 - 12月27日,愛知県,
2022-10-04,2022-12-27,放送,TVQ九州放送,,木曜 2:15 - 2:45（水曜深夜）,2022年10月4日 - 12月27日,福岡県,
2022-10-02,,配信,,ABEMA,日曜 22:30 - 23:00,2022年10月2日,,
2022-10-02,,配信,,Amazonプライム・ビデオ,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,GYAO!ストア,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,TSUTAYA TV,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,DMM.com,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,ニコニコチャンネル,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,HAPPY!動画,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,バンダイチャンネル,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,ひかりTV,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,ビデオマーケット,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,music.jp,日曜 23:00 更新,2022年10月2日,,
