開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-01-14,,放送,TOKYO MX,,火曜 0:00 - 0:30（月曜深夜）,2020年1月14日 - 1月28日2020年4月28日 - 6月23日
2020-01-14,,放送,KBS京都,,火曜 0:00 - 0:30（月曜深夜）,2020年1月14日 - 1月28日2020年4月28日 - 6月23日
2020-01-14,,放送,サンテレビ,,火曜 0:00 - 0:30（月曜深夜）,2020年1月14日 - 1月28日2020年4月28日 - 6月23日
2020-01-14,,放送,BS11,,火曜 0:00 - 0:30（月曜深夜）,2020年1月14日 - 1月28日2020年4月28日 - 6月23日
2020-01-30,,放送,長崎文化放送,,木曜 1:55 - 2:21（水曜深夜）,2020年1月30日 - 2月13日2020年5月14日 - 7月9日
2020-05-15,2020-07-31,放送,TBSチャンネル2,,金曜 17:00 - 17:30,2020年5月15日 - 7月31日
2020-01-14,,配信,,dアニメストア,火曜 0:00 更新,2020年1月14日
2020-01-14,,配信,,FOD,火曜 0:00 更新,2020年1月14日
2020-01-14,,配信,,U-NEXT,火曜 0:00 更新,2020年1月14日
2020-01-20,,配信,,ABEMA,月曜 0:00 - 0:30（日曜深夜）,2020年1月20日
2020-01-20,,配信,,ニコニコチャンネル,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,hulu,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,バンダイチャンネル,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,Amazonプライム・ビデオ,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,Rakuten TV,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,ビデオマーケット,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,GYAO!ストア,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,DMM.com,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,J:COMオンデマンド,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,TELASA,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,ひかりTV,月曜 0:00 更新,2020年1月20日
2020-01-20,,配信,,TSUTAYA TV,月曜 19:00 更新,2020年1月20日
2020-01-20,,配信,,ニコニコ生放送,月曜 22:00 - 22:30,2020年1月20日
2020-10-13,2020-12-29,放送,TOKYO MX,,火曜 0:00 - 0:30（月曜深夜）,2020年10月13日 - 12月29日
2020-10-13,2020-12-29,放送,KBS京都,,火曜 0:00 - 0:30（月曜深夜）,2020年10月13日 - 12月29日
2020-10-13,2020-12-29,放送,サンテレビ,,火曜 0:00 - 0:30（月曜深夜）,2020年10月13日 - 12月29日
2020-10-13,2020-12-29,放送,BS11,,火曜 0:00 - 0:30（月曜深夜）,2020年10月13日 - 12月29日
2020-10-22,,放送,長崎文化放送,,木曜 1:18 - 1:48（水曜深夜）,2020年10月22日 -
2020-10-30,,放送,TBSチャンネル2,,金曜 17:00 - 17:30,2020年10月30日 -
2020-10-13,,配信,,dアニメストア,火曜 0:00 更新,2020年10月13日
2020-10-13,,配信,,FOD,火曜 0:00 更新,2020年10月13日
2020-10-13,,配信,,U-NEXT,火曜 0:00 更新,2020年10月13日
,,配信,,hulu,未定,未定
,,配信,,バンダイチャンネル,未定,未定
,,配信,,J:COMオンデマンド,未定,未定
,,配信,,ビデオパス,未定,未定
,,配信,,ひかりTV,未定,未定
,,配信,,ABEMA,未定,未定
,,配信,,ニコニコチャンネル,未定,未定
,,配信,,Amazonプライム・ビデオ,未定,未定
,,配信,,Rakuten TV,未定,未定
,,配信,,ビデオマーケット,未定,未定
,,配信,,GYAO!ストア,未定,未定
,,配信,,DMM.com,未定,未定
,,配信,,TSUTAYA,未定,未定
