開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2021-04-11,2021-09-19,放送,毎日放送,,日曜 2:08 - 2:38（土曜深夜）,2021年4月11日 - 9月19日,
2021-04-12,2021-09-20,放送,テレビ北海道,,月曜 1:35 - 2:05（日曜深夜）,2021年4月12日 - 9月20日,
2021-04-12,2021-09-20,放送,テレビ東京,,月曜 1:35 - 2:05（日曜深夜）,2021年4月12日 - 9月20日,
2021-04-12,2021-09-20,放送,テレビ愛知,,月曜 1:35 - 2:05（日曜深夜）,2021年4月12日 - 9月20日,
2021-04-12,2021-09-20,放送,TVQ九州放送,,月曜 2:35 - 3:05（日曜深夜）,2021年4月12日 - 9月20日,
2021-04-12,2021-09-20,放送,AT-X,,月曜 21:30 - 22:00,2021年4月12日 - 9月20日,
2021-04-15,2021-09-23,放送,山陰中央テレビ,,木曜 1:25 - 1:55（水曜深夜）,2021年4月15日 - 9月23日,
2021-04-16,2021-09-24,放送,琉球朝日放送,,金曜 2:15 - 2:45（木曜深夜）,2021年4月16日 - 9月24日,
2021-04-18,2021-09-26,放送,BS朝日,,日曜 23:00 - 23:30,2021年4月18日 - 9月26日,
2021-04-24,2021-10-02,放送,熊本放送,,土曜 2:25 - 2:55（金曜深夜）,2021年4月24日 - 10月2日,
2021-07-04,2021-12-11,放送,宮崎放送,,日曜 1:28 - 1:58（土曜深夜）,2021年7月4日 - 12月11日,
2021-07-05,2021-12-19,放送,テレビ山梨,,月曜 0:50 - 1:20（日曜深夜）,2021年7月5日 - 12月19日,
2021-07-23,2022-01-13,放送,長崎文化放送,,金曜 1:18 - 1:48（木曜深夜）,2021年7月23日 - 2022年1月13日,
2021-09-07,2022-02-22,放送,IBC岩手放送,,火曜 0:58 - 1:28（月曜深夜）,2021年9月7日 - 2022年2月22日,
2021-04-11,,配信,,ABEMAビデオ,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,Amazon Prime Video,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,dアニメストア,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,dTV,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,FOD,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,MBS動画イズム,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,Netflix,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,Paravi,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,TELASA,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,U-NEXT,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,アニメ放題,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,auスマートパスプレミアム,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,バンダイチャンネル,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,ひかりTV,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,TSUTAYA TV,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,Disney+,日曜 3:08（土曜深夜） 更新,2021年4月11日,定額配信
2021-04-11,,配信,,DMM.com,日曜 3:08（土曜深夜） 更新,2021年4月11日,都度課金配信
2021-04-11,,配信,,GYAO!ストア,日曜 3:08（土曜深夜） 更新,2021年4月11日,都度課金配信
2021-04-11,,配信,,ビデオマーケット,日曜 3:08（土曜深夜） 更新,2021年4月11日,都度課金配信
2021-04-11,,配信,,クランクイン！ビデオ,日曜 3:08（土曜深夜） 更新,2021年4月11日,都度課金配信
2021-04-11,,配信,,ニコニコチャンネル,日曜 3:08（土曜深夜） 更新,2021年4月11日,都度課金配信
2021-04-11,,配信,,Rakuten TV,日曜 3:08（土曜深夜） 更新,2021年4月11日,都度課金配信
2021-04-11,,配信,,GYAO!,日曜 3:08（土曜深夜） 更新,2021年4月11日,最新話1週間配信
2021-04-11,,配信,,Hulu,日曜 12:00 更新,2021年4月11日,定額配信
2021-04-11,,配信,,ニコニコ生放送,日曜 23:00  - 23:30,2021年4月11日,無料ライブ配信
2023-01-08,2023-04-02,放送,毎日放送,,日曜 2:08 - 2:38（土曜深夜）,2023年1月8日 - 4月2日,
2023-01-10,2023-04-04,放送,テレビ東京,,火曜 0:00 - 0:30（月曜深夜）,2023年1月10日 - 4月4日,
2023-01-10,2023-04-04,放送,テレビ北海道,,火曜 0:00 - 0:30（月曜深夜）,2023年1月10日 - 4月4日,
