開始,終了,タイプ,放送局,配信サイト,時間,期間
2019-10-03,2019-12-26,放送,WOWOWプライム,,木曜 0:30 - 1:00（水曜深夜）,2019年10月3日 - 12月26日
2019-10-06,2019-12-29,放送,朝日放送テレビ,,日曜 2:10 - 2:40（土曜深夜）,2019年10月6日 - 12月29日
2019-10-09,2020-01-01,放送,AT-X,,水曜 20:00 - 20:30,2019年10月9日 - 2020年1月1日
2019-10-09,2020-01-01,放送,TOKYO MX,,水曜 22:00 - 22:30,2019年10月9日 - 2020年1月1日
2019-10-11,2020-01-03,放送,BSフジ,,金曜 0:00 - 0:30（木曜深夜）,2019年10月11日 - 2020年1月3日
2019-10-03,,配信,,dアニメストア,木曜 1:00 更新,2019年10月3日
2019-10-10,,配信,,WOWOWメンバーズオンデマンド,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,U-NEXT,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,アニメ放題,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,AbemaTV,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,Amazon Prime Video,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,Netflix,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,J:COMオンデマンド,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,ビデオパス,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,みるプラス,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,ひかりTV,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,FOD,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,GYAO!,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,バンダイチャンネル,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,niconico,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,ビデオマーケット,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,DMM.com,木曜 0:00 更新,2019年10月10日
2019-10-10,,配信,,TSUTAYA TV,木曜 0:00 更新,2019年10月10日
2020-04-05,2020-06-21,放送,朝日放送テレビ,,日曜 2:10 - 2:40（土曜深夜）,2020年4月5日 - 6月21日
2020-04-07,2020-06-23,放送,AT-X,,火曜 23:30 - 水曜 0:00,2020年4月7日 - 6月23日
2020-04-08,2020-06-24,放送,TOKYO MX,,水曜 22:00 - 22:30,2020年4月8日 - 6月24日
2020-04-09,2020-06-25,放送,WOWOWプライム,,木曜 0:30 - 1:00（水曜深夜）,2020年4月9日 - 6月25日
2020-04-10,2020-06-26,放送,BSフジ,,金曜 0:00 - 0:30（木曜深夜）,2020年4月10日 - 6月26日
2020-04-05,,配信,,dアニメストア,日曜 2:40（土曜深夜） 更新,2020年4月5日
2020-04-12,,配信,,WOWOWメンバーズオンデマンド,日曜 0:00（土曜深夜） 更新,2020年4月12日
2020-04-12,,配信,,Paravi,日曜 0:00（土曜深夜） 更新,2020年4月12日
2020-04-12,,配信,,Amazon Prime Video,日曜 0:00（土曜深夜） 更新,2020年4月12日
2020-04-12,,配信,,Netflix,日曜 0:00（土曜深夜） 更新,2020年4月12日
