tweet_id	text	predictions	anime_id	anime_title
1606672578520944643	最高にろっくなアニメやった ありがとうBTR 速攻でロスになってますわ  #ぼっち・ざ・ろっく	2	2022-10-582	ぼっち・ざ・ろっく!
1623683848826687488	君に虹が降る #ぼっち・ざ・ろっく https://t.co/A1eUN4f3DG	1	2022-10-582	ぼっち・ざ・ろっく!
1651301887902375936	★Amazon予約開始★  TV ぼっち・ざ・ろっく 結束バンド 光の中へ  価格:1,320円 2023年5月発売 https://t.co/Cod0l8Ioxw #ぼっち・ざ・ろっく #結束バンド #アニプレックス https://t.co/L2MuSarNRq	1	2022-10-582	ぼっち・ざ・ろっく!
1649260491875966976	きたちゃんおめでとう 2期も楽しみにしてます 再掲 #ぼっち・ざ・ろっく #喜多ちゃん https://t.co/6zwtJUphxz	2	2022-10-582	ぼっち・ざ・ろっく!
1578705415965388801	ぼっち・ざ・ろっく第一話本日放送!🎸  前から応援している作品なので、アニメめちゃくちゃ楽しみです! #ぼっち・ざ・ろっく https://t.co/S9oU8dZbEz	2	2022-10-582	ぼっち・ざ・ろっく!
1606669138969362432	名前呼びキターン!! #ぼっち・ざ・ろっく	1	2022-10-582	ぼっち・ざ・ろっく!
1604835154861883392	会場となるところを眺めておく #ぼっち・ざ・ろっく #at_x https://t.co/XVXYMyl8D8	1	2022-10-582	ぼっち・ざ・ろっく!
1597370864961753090	星ぼという無限の可能性 (髪出しすぎだし、いろいろ雑に...) #ぼっち・ざ・ろっく https://t.co/GEC4DiARDA	1	2022-10-582	ぼっち・ざ・ろっく!
1581463990081028096	ぼっちちゃんの顔面とスタイルの良さを活かすシーンがほぼ皆無なのすき  #ぼっち・ざ・ろっく https://t.co/2YRHrBscuW	2	2022-10-582	ぼっち・ざ・ろっく!
1605372953821990912	廣井きくり 酔いどれ知らず #ぼっち・ざ・ろっく #BocchiTheRock https://t.co/CUxZKpeBQq	1	2022-10-582	ぼっち・ざ・ろっく!
1630333149946454017	伊地知虹夏に彼氏がいることを知り崩壊する男の小説を書きました。ピクシブにあまり慣れていないのですが宜しくお願い致します。 #ぼっち・ざ・ろっく #伊地知虹夏   https://t.co/dSl5CLRLLA https://t.co/ttW4mpkjH7	1	2022-10-582	ぼっち・ざ・ろっく!
1602915766503735296	#ぼっち・ざ・ろっく  10話  「バンドって最高にカッコいい!!︎」 シンプルだけど響く感情 アバンの妄想がソロだった事が対比なのか結束バンドのリードギター後藤ひとりになった瞬間 体育館ステージ申し込みもだけどギター練習頑張るとか来喜多ちゃんのぼっちへの憧れが垣間見える感じが良いな ↓ https://t.co/QnqaQDzS2A	2	2022-10-582	ぼっち・ざ・ろっく!
1602621239087931392	フランドン畜舎内 ヨークシャイヤさんにアプリにしていただいています(その1) #ぼっち・ざ・ろっく #福笑い #ぼっちちゃん #後藤ひとり #キュビズム https://t.co/qu05cH7eji	1	2022-10-582	ぼっち・ざ・ろっく!
1609938637701140480	#ぼっち・ざ・ろっく  練習✏️ https://t.co/hh3Ga47oVm	1	2022-10-582	ぼっち・ざ・ろっく!
1594899247027347456	下北のヴィレヴァンにぼざろのポスター貼ってあるのほんとエモい...原作からずっとファンだったから感無量...。 #ぼっち・ざ・ろっく! https://t.co/5dEvrwIood	2	2022-10-582	ぼっち・ざ・ろっく!
1586374247244386307	呪詛wwwww #BTR_anime #ぼっち・ざ・ろっく https://t.co/u1vI39MwXJ	1	2022-10-582	ぼっち・ざ・ろっく!
1591470699230949376	何度も再生しちゃう。 #ぼっち・ざ・ろっく https://t.co/YkxfC8UjlE	1	2022-10-582	ぼっち・ざ・ろっく!
1652757642010591233	虹夏ちゃん。  #伊地知虹夏 #ぼっち・ざ・ろっく https://t.co/dCKODJ8UOB	1	2022-10-582	ぼっち・ざ・ろっく!
