期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2022年4月10日 - 6月26日,日曜 21:00 - 21:30,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[27] / リピート放送あり,放送,,2022-04-10,2022-06-26
2022年4月10日 - 6月26日,日曜 22:00 - 22:30,TOKYO MX,東京都,,放送,,2022-04-10,2022-06-26
2022年4月11日 - 6月27日,月曜 0:30 - 1:00（日曜深夜）,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,,2022-04-11,2022-06-27
2022年4月11日 - 6月27日,月曜 2:29 - 2:59（日曜深夜）,関西テレビ,近畿広域圏,,放送,,2022-04-11,2022-06-27
2022年4月10日,日曜 21:30 更新,,,,配信,dアニメストア,2022-04-10,
2022年4月17日,日曜 21:30 更新,,,,配信,ABEMA,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,ニコニコチャンネル,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,GYAO!,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,ひかりTV,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,FOD,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,バンダイチャンネル,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,Hulu,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,TELASA,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,J:COMオンデマンド,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,みるプラス,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,アニメ放題,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,Amazon Prime Video,2022-04-17,
2022年4月17日,日曜 21:30 更新,,,,配信,U-NEXT,2022-04-17,
2022年4月17日,日曜 21:30 - 22:00,,,,配信,ニコニコ生放送,2022-04-17,
未定,未定,,,,配信,Rakuten TV,,
未定,未定,,,,配信,DMM.com,,
未定,未定,,,,配信,music.jp,,
未定,未定,,,,配信,ビデオマーケット,,
未定,未定,,,,配信,HAPPY!動画,,
未定,未定,,,,配信,クランクイン！ビデオ,,
